frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
87,5,0.391293871737 1366.1900554018662 2903.3717959350397 2048.0,0.285714285714 1882.9285714285713 2764.285714285714 1947.0,0,0,0
88,5,0.581115864295 1369.018973292243 2905.0693287970626 2052.0,0.3571428571427 1886.7857142857142 2765.690476190476 1951.0,0,0,0
89,5,0.770937856853 1371.8478911826198 2906.766861659085 2057.0,0.4285714285716 1890.642857142857 2767.095238095238 1955.0,0,0,0
90,5,0.960759849411 1374.6768090729965 2908.464394521108 2061.0,0.5 1894.5 2768.5 1959.0,0.26413625478744507,CV51VSU,0.10632961058696747
91,5,0.7509512459815 1377.893836928177 2911.0751779382995 2065.0,0.3333333333335 1898.2222222222222 2770.777777777778 1964.0,0,0,0
92,5,0.5411426425526 1381.1108647833576 2913.685961355491 2068.0,0.1666666666665 1901.9444444444443 2773.0555555555557 1968.0,0,0,0
93,5,0.3313340391232 1384.327892638538 2916.296744772683 2072.0,0.0 1905.6666666666667 2775.3333333333335 1973.0,0,0,0
94,5,0.121525435694 1387.5449204937186 2918.9075281898745 2075.0,0.8333333333335 1909.388888888889 2777.6111111111113 1977.0,0,0,0
95,5,0.911716832265 1390.7619483488988 2921.5183116070666 2079.0,0.6666666666665 1913.111111111111 2779.8888888888887 1982.0,0,0,0
96,5,0.7019082288357 1393.9789762040793 2924.1290950242583 2082.0,0.5 1916.8333333333333 2782.1666666666665 1986.0,0,0,0
97,5,0.4920996254064 1397.1960040592598 2926.73987844145 2086.0,0.3333333333335 1920.5555555555557 2784.4444444444443 1991.0,0,0,0
98,5,0.2822910219775 1400.4130319144404 2929.3506618586416 2089.0,0.1666666666665 1924.2777777777778 2786.722222222222 1995.0,0,0,0
99,5,0.072482418548 1403.6300597696209 2931.9614452758333 2093.0,0.0 1928.0 2789.0 2000.0,0.26257938146591187,MT51VSU,0.13601822911414185
100,5,0.7518300039687 1406.7713619281803 2933.418566170576 2096.0,0.3 1932.2 2790.5 2004.0,0,0,0
101,5,0.431177589389 1409.9126640867398 2934.875687065319 2100.0,0.6 1936.4 2792.0 2009.0,0,0,0
102,5,0.1105251748095 1413.0539662452993 2936.332807960062 2103.0,0.9 1940.6 2793.5 2014.0,0,0,0
103,5,0.7898727602296 1416.1952684038588 2937.789928854805 2107.0,0.2 1944.8 2795.0 2019.0,0,0,0
104,5,0.4692203456502 1419.3365705624183 2939.247049749548 2110.0,0.5 1949.0 2796.5 2024.0,0,0,0
105,5,0.1485679310704 1422.4778727209778 2940.7041706442906 2113.0,0.8 1953.2 2798.0 2029.0,0,0,0
106,5,0.827915516491 1425.6191748795372 2942.1612915390338 2117.0,0.1 1957.4 2799.5 2034.0,0,0,0
107,5,0.507263101911 1428.7604770380967 2943.6184124337765 2120.0,0.4 1961.6 2801.0 2038.0,0,0,0
108,5,0.1866106873317 1431.9017791966562 2945.0755333285197 2123.0,0.7 1965.8 2802.5 2043.0,0,0,0
109,5,0.865958272752 1435.0430813552157 2946.5326542232624 2127.0,0.0 1970.0 2804.0 2048.0,0,0,0
110,5,0.5453058581725 1438.1843835137752 2947.989775118005 2130.0,0.3 1974.2 2805.5 2053.0,0,0,0
111,5,0.2246534435926 1441.3256856723347 2949.4468960127483 2134.0,0.6 1978.4 2807.0 2058.0,0,0,0
112,5,0.904001029013 1444.4669878308941 2950.904016907491 2137.0,0.9 1982.6 2808.5 2063.0,0,0,0
113,5,0.5833486144334 1447.6082899894536 2952.361137802234 2140.0,0.2 1986.8 2810.0 2068.0,0,0,0
114,5,0.262696199854 1450.749592148013 2953.818258696977 2144.0,0.5 1991.0 2811.5 2073.0,0.25359395146369934,CD51VSU,0.09318264186703314
14,6,0.8314825609586 1029.8988200776585 1741.4990580279864 1451.0,0.0 1322.0 1610.0 1372.0,0.301420122385025,JO71SOL,0.02034304036942675
15,6,0.8724499286 1030.9737681603933 1740.8139286934354 1453.0,0.3125 1323.8125 1610.1875 1373.0,0,0,0
16,6,0.9134172962415 1032.0487162431282 1740.1287993588844 1454.0,0.625 1325.625 1610.375 1375.0,0,0,0
17,6,0.9543846638828 1033.123664325863 1739.4436700243334 1456.0,0.9375 1327.4375 1610.5625 1377.0,0,0,0
18,6,0.9953520315244 1034.198612408598 1738.7585406897824 1458.0,0.25 1329.25 1610.75 1379.0,0,0,0
19,6,0.0363193991657 1035.2735604913328 1738.0734113552314 1460.0,0.5625 1331.0625 1610.9375 1381.0,0,0,0
20,6,0.077286766807 1036.3485085740676 1737.3882820206804 1462.0,0.875 1332.875 1611.125 1382.0,0,0,0
21,6,0.1182541344485 1037.4234566568025 1736.7031526861294 1463.0,0.1875 1334.6875 1611.3125 1384.0,0,0,0
22,6,0.1592215020898 1038.4984047395374 1736.0180233515784 1465.0,0.5 1336.5 1611.5 1386.0,0,0,0
23,6,0.2001888697312 1039.5733528222722 1735.3328940170275 1467.0,0.8125 1338.3125 1611.6875 1388.0,0,0,0
24,6,0.2411562373727 1040.648300905007 1734.6477646824765 1469.0,0.125 1340.125 1611.875 1390.0,0,0,0
25,6,0.282123605014 1041.723248987742 1733.9626353479255 1471.0,0.4375 1341.9375 1612.0625 1391.0,0,0,0
26,6,0.3230909726553 1042.7981970704768 1733.2775060133745 1472.0,0.75 1343.75 1612.25 1393.0,0,0,0
27,6,0.3640583402969 1043.8731451532117 1732.5923766788235 1474.0,0.0625 1345.5625 1612.4375 1395.0,0,0,0
28,6,0.4050257079382 1044.9480932359465 1731.9072473442725 1476.0,0.375 1347.375 1612.625 1397.0,0,0,0
29,6,0.4459930755797 1046.0230413186814 1731.2221180097215 1478.0,0.6875 1349.1875 1612.8125 1399.0,0,0,0
30,6,0.486960443221 1047.0979894014163 1730.5369886751705 1480.0,0.0 1351.0 1613.0 1401.0,0.2685953676700592,IG11SOG,0.06998761154534333
31,6,0.1228716192625 1047.7574574428584 1730.3827074618628 1480.0,0.0 1351.0 1613.0 1401.0,0.26919350028038025,IG41SOG,0.07795185331746933
32,6,0.773731746974 1048.5562613765508 1728.8205896066054 1479.0,0.5 1353.5 1609.5 1404.0,0.2899760901927948,IO41SOG,0.10596897106286482
33,6,0.0629985135572 1051.5433371654597 1726.3378419803023 1483.0,0.5 1356.0 1608.5 1406.0,0.2633611857891083,IG41SOG,0.21836195516034737
34,6,0.2179921720092 1054.0045875589217 1726.772374966367 1485.0,0.7857142857142 1358.0714285714287 1608.642857142857 1407.0,0,0,0
35,6,0.3729858304612 1056.465837952384 1727.2069079524315 1487.0,0.0714285714287 1360.142857142857 1608.7857142857142 1409.0,0,0,0
36,6,0.5279794889132 1058.927088345846 1727.641440938496 1490.0,0.357142857143 1362.2142857142858 1608.9285714285713 1411.0,0,0,0
37,6,0.6829731473651 1061.388338739308 1728.0759739245605 1492.0,0.642857142857 1364.2857142857142 1609.0714285714287 1413.0,0,0,0
