frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
46,5,2209.216256319536 1259.7930633816347 2855.132858463415 1884.2898782092568,2527.0 1734.0 2713.0 1788.0,0.27462154626846313,MJ51VSI,0.1331134689073743
47,5,2208.6517344281124 1262.4651691959168 2855.098908408125 1888.6737528994433,2527.5 1736.5 2715.1666666666665 1791.5,0,0,0
48,5,2208.087212536689 1265.1372750101987 2855.064958352835 1893.0576275896296,2528.0 1739.0 2717.3333333333335 1795.0,0,0,0
49,5,2207.5226906452654 1267.8093808244807 2855.0310082975457 1897.4415022798162,2528.5 1741.5 2719.5 1798.5,0.25305265188217163,MZ51VSW,0.020558706676464252
50,5,2206.6592008123903 1267.6302652989843 2854.5160464385526 1900.3183782547358,2529.5 1745.5 2721.5 1803.5,0,0,0
51,5,2205.795710979515 1267.4511497734877 2854.0010845795596 1903.1952542296556,2530.5 1749.5 2723.5 1808.5,0.2563808858394623,CE51TSU,0.017302813691463883
52,5,2206.3611991476364 1270.107726640243 2855.0463690150636 1907.0219499834168,2531.527777777778 1753.0555555555557 2724.3611111111113 1812.0555555555557,0,0,0
53,5,2206.926687315757 1272.7643035069984 2856.0916534505673 1910.848645737178,2532.5555555555557 1756.611111111111 2725.222222222222 1815.611111111111,0,0,0
54,5,2207.4921754838783 1275.4208803737538 2857.1369378860713 1914.6753414909392,2533.5833333333335 1760.1666666666667 2726.0833333333335 1819.1666666666667,0,0,0
55,5,2208.0576636519995 1278.077457240509 2858.1822223215754 1918.5020372447004,2534.6111111111113 1763.7222222222222 2726.9444444444443 1822.7222222222222,0,0,0
56,5,2208.6231518201207 1280.7340341072643 2859.2275067570795 1922.3287329984616,2535.6388888888887 1767.2777777777778 2727.8055555555557 1826.2777777777778,0,0,0
57,5,2209.1886399882414 1283.3906109740196 2860.272791192583 1926.1554287522229,2536.6666666666665 1770.8333333333333 2728.6666666666665 1829.8333333333333,0,0,0
58,5,2209.7541281563626 1286.047187840775 2861.318075628087 1929.982124505984,2537.6944444444443 1774.388888888889 2729.527777777778 1833.388888888889,0,0,0
59,5,2210.319616324484 1288.7037647075304 2862.3633600635912 1933.8088202597453,2538.722222222222 1777.9444444444443 2730.3888888888887 1836.9444444444443,0,0,0
60,5,2210.885104492605 1291.3603415742855 2863.4086444990953 1937.6355160135067,2539.75 1781.5 2731.25 1840.5,0,0,0
61,5,2211.4505926607258 1294.0169184410408 2864.453928934599 1941.462211767268,2540.777777777778 1785.0555555555557 2732.1111111111113 1844.0555555555557,0,0,0
62,5,2212.016080828847 1296.6734953077962 2865.499213370103 1945.2889075210292,2541.8055555555557 1788.611111111111 2732.972222222222 1847.611111111111,0,0,0
63,5,2212.581568996968 1299.3300721745516 2866.544497805607 1949.1156032747904,2542.8333333333335 1792.1666666666667 2733.8333333333335 1851.1666666666667,0,0,0
64,5,2213.147057165089 1301.986649041307 2867.5897822411107 1952.9422990285516,2543.8611111111113 1795.7222222222222 2734.6944444444443 1854.7222222222222,0,0,0
65,5,2213.71254533321 1304.6432259080623 2868.6350666766148 1956.7689947823128,2544.8888888888887 1799.2777777777778 2735.5555555555557 1858.2777777777778,0,0,0
66,5,2214.2780335013313 1307.2998027748176 2869.680351112119 1960.595690536074,2545.9166666666665 1802.8333333333333 2736.4166666666665 1861.8333333333333,0,0,0
67,5,2214.8435216694525 1309.9563796415728 2870.725635547623 1964.4223862898352,2546.9444444444443 1806.388888888889 2737.277777777778 1865.388888888889,0,0,0
68,5,2215.409009837573 1312.6129565083281 2871.7709199831265 1968.2490820435964,2547.972222222222 1809.9444444444443 2738.1388888888887 1868.9444444444443,0,0,0
69,5,2215.9744980056944 1315.2695333750835 2872.8162044186306 1972.0757777973577,2549.0 1813.5 2739.0 1872.5,0.2580347955226898,CT51YSU,0.09930343561384251
70,5,2216.1643199982523 1318.0984512654602 2874.5137372806535 1976.3345479823786,2550.0714285714284 1817.357142857143 2740.404761904762 1876.642857142857,0,0,0
71,5,2216.35414199081 1320.9273691558371 2876.211270142676 1980.5933181673995,2551.1428571428573 1821.2142857142858 2741.809523809524 1880.7857142857142,0,0,0
72,5,2216.543963983368 1323.7562870462139 2877.9088030046987 1984.8520883524204,2552.214285714286 1825.0714285714287 2743.214285714286 1884.9285714285713,0,0,0
73,5,2216.733785975926 1326.5852049365908 2879.6063358667216 1989.1108585374413,2553.285714285714 1828.9285714285713 2744.6190476190477 1889.0714285714287,0,0,0
74,5,2216.923607968484 1329.4141228269675 2881.3038687287444 1993.3696287224623,2554.3571428571427 1832.7857142857142 2746.0238095238096 1893.2142857142858,0,0,0
75,5,2217.113429961042 1332.2430407173445 2883.001401590767 1997.6283989074832,2555.4285714285716 1836.642857142857 2747.4285714285716 1897.357142857143,0,0,0
76,5,2217.3032519536 1335.0719586077212 2884.6989344527897 2001.887169092504,2556.5 1840.5 2748.8333333333335 1901.5,0,0,0
77,5,2217.493073946158 1337.900876498098 2886.3964673148125 2006.145939277525,2557.5714285714284 1844.357142857143 2750.2380952380954 1905.642857142857,0,0,0
78,5,2217.682895938716 1340.7297943884748 2888.094000176835 2010.404709462546,2558.6428571428573 1848.2142857142858 2751.6428571428573 1909.7857142857142,0,0,0
